汽车|car|autó
床|bed|ágy
自行车|bicycle|bicikli
猫|cat|cica
鸡|chicken|csirke
多米诺牌|domino|dominó
绳子|rope|madzag
酱|jam|dzsem
草莓|strawberry|eper
饭店|restaurant|étterem
树|tree|fa
蘑菇|mushroom|gomba
戒指|ring|gyűrű
房子|house|ház
衬衫|shirt|ing
爱尔兰|Ireland|Írország
日本|Japan|Japán
咖啡|coffee|kávé
灯|lamp|lámpa
破洞的袜子|socks with hole|lyukas zokni
电影院|cinema|mozi
太阳|sun|nap
项链|necklace|nyaklánc
医生|physician|orvos
钟表|clock|óra
小时|hour|óra
点|o'clock|óra
五|five|öt
秋天|autumn|ősz
披萨|pizza|pizza
壁球|squash|squash
胡萝卜|carrot|répa
啤酒|beer|sör
眼睛|eye|szem
茶|tea|tea
母鸡|hen|tyúk
黄瓜|cucumber|uborka
道路|road|út
瓶子|bottle|üveg
飞船|spacechip|űrhajó
火车|train|vonat
厕所|wc|wc
出租车|taxi|taxi
游艇|yacht|yacht
斑马|zebra|zebra
面包卷|roll|zsemle
