画家|painter
过|celebrate, have
星期六|Saturday
妹妹|little sister
签证|visa
收到|receive
周末|weekend
恭喜|congratulations
来|come
布达佩斯|Budapest
音乐会|concert
听|listen
一家人|family
怎么样|what do you think
过得|passing it
樱花|cherry blossom
春天|spring
黑狗|black dog
名片|business card
职位|title
好呀|okay (cute)
泳池|pool
领英|LinkedIn
地方|place
欢迎|welcome
环境|environment
渔人堡|Fisherman's bastion
前面|in front
旁边|on the side of
后面|behind
里面|inside
上面|topmost
下面|below
花|flower
国家博物馆|National Museum
少|less little
更|more
还是|still more
荔枝|lychee
都|all
芒果|mango
草莓|strawberry
蓝莓|blueberry
香蕉|banana
西瓜|watermelon
菠萝|pineapple
椰子|coconut
桃子|peach
樱桃|cherry
