
一家人|family
一起|together
一路平安|safe journey
一遍|again
万|ten thousand
丈夫|husband
上海中心大厦|shanghai tower
上网|online surfing
上面|topmost
下次|next time
下班|get off work
下车|get off bus
下雨|raining
下雪|snow
下面|below
不|no
不客气|you are welcome
个|m.w.individual person or object
中午|noon
乒乓球|ping pong
买|buy
亿|hundred million
今天|today
从|from
会|can
你|you
修理汽车|repair car
做|do
做水上运动|water sports
健身房|gym
先生|husband formal
兔|rabbit
养孩子|have children
养花|gardening flowers
再|again
冷|cold
几|how many less than ten
几岁|how old (young)
出差|business trip
出生|birth
出租车|taxi
刘慈欣|Liu Cixin
刮风|windy
到|to
前面|in front
包子|steamed bun
北京烤鸭|Peking duck
医生|physician
医院|hospital
十万|hundred thousand
千|thousand
千万|ten million
华山|Mount Hua
厨师|chef
去年|last year
口|mouth
只|m.w.animal
叫|called
号|date
同学|classmate
名片|business card
后|after
后面|behind
吗|yes no question
吧|imperative
听|listen
听|listen, hear
周末|weekend
咖啡|coffee
哪儿|where
唱|sing
喜欢|like
喝|drink
国家博物馆|National Museum
土豆|potato
土豆牛肉汤|goulash
在|is at
地方|place
坏|bad
坐|sit
坐|take
块|rmb
外公|moms dad
多云|cloudy
多大|how old (middle)
多大年纪|how old (older)
多少|how many ten plus
天气|weather
夫人|wife
好听|nice to hear
好呀|okay (cute)
妈妈|mother
妹妹|little sister
妻子|wife
安徽|Anhui province
宫保鸡丁|Gongbao chicken
家|house, home
小时|hour duration
少|less little
工作|work
布达佩斯|Budapest
帅|handsome
带|bring
年|year
年轻|young
开心|happy
开车|drive car
张|m.w.flat
弹琴|play piano
忙|busy
快乐|happy
怎么去|how to go
怎么样|what do you think
恔子|dumpling
恭喜|congratulations
手工|handmade
打球|ball sports using hand
打电话|give phone call
打网球|play tennis
把|m.w.handful
拉小提琴|play violin
支|m.w.long and straight
收到|receive
故宫|forbidden city
新年|new year
旁边|on the side of
旅游|tourism
旅行|travel
早上|morning
时间|time
明天|tomorrow
星期六|Saturday
春天|spring
春节|spring festival
昨天|yesterday
是|is
晚上|evening
晚饭|dinner
晴天|sunny
更|more
月|month
有名|famous
朋友|friend
服务员|waiter
本|m.w.book
来|come
杯|m.w.cup
杯子|cup
柠檬|lemon
桃子|peach
椰子|coconut
樱桃|cherry
樱花|cherry blossom
橘子|tangerine
橙子|orange
欢迎|welcome
歌|song
歌手|singer
水果|fruit
汤|soup
汽车|car
泳池|pool
消息|news
渔人堡|Fisherman's bastion
游泳|swim
滑冰|skate
滑板|skateboard
滑滑板|skateboarding
漂亮|beautiful
火车|train
火车站|train station
热|hot
照片|photo
爱|love
爱好|hobby
爷爷|dads dad
爸爸|father
牛|cattle
牛肉|beef
狗|dog
猪|pig
猫|cat
猴|monkey
玩|play
环境|environment
生日|birthday
电影|movie
电脑|computer
画家|painter
画画|painting
留学|study abroad
百万|million
看书|read book
看电影|watch movie
真|so very
睡觉|sleep
知道|know
礼物|gift
祝|wish hope
程大宝|cheng dabao
签证|visa
米饭|cooked rice
给|give
羊|sheep
美食|delicious food
老公|husband spoken
老婆|wife spoken
老师|teacher
职位|title
能|can
自行车|bike
芒果|mango
花|flower
苹果|apple
茶|tea
草莓|strawberry
荔枝|lychee
菜|dish
菠萝|pineapple
葡萄|grape
蓝莓|blueberry
虎|tiger
蛇|snake
衣服|clothes
西安|Xi'an
西瓜|watermelon
要|gonna
见到|see
话|discussion
说|say
请问|excuse me
起床|get up
踢球|play football
过|celebrate
过|celebrate, have
过|cross
过得|passing it
还是|still more
这些|these
进|enter, come in
都|all
里面|inside
钱|money
长城|great wall
阅读|reading
阴天|overcast
非常|very
面条|noodles
音乐|music
音乐会|concert
预报|weather forecast
领英|LinkedIn
飞机|airplane
饭店|restaurant
首|m.w.piece
香蕉|banana
马|horse
骑|ride
鱼|fish
鱼香肉丝|fish-flavored shredded pork
鸡|chicken
黄山|yellow mountain
黑狗|black dog
鼠|mouse
龙|dragon
