创立|found; set up
品牌|brand
世界闻名|world-famous
荞麦|buckwheat
维他命(维生素)|vitamin
发现|discover; find

饭|meal; cooked food
做好|finish; be ready (food/task)
还没|not yet
很快|soon
准备好|be ready

收拾|tidy up; pack up
想好|think it through; decide

到时候见|see you then
几场|how many (shows/games)?
机场|airport
火车站|train station
接|pick up (someone); meet
接电话|answer the phone

A接B|A picks up B
A去机场接B|A goes to the airport to pick up B
我去火车站接你|I'll go to the train station to pick you up

李斯特是世界闻名的音乐家。|Liszt is a world-famous musician.

