狂欢节|carnival
惊喜|surprise
手表|wristwatch
香槟|champagne
日内瓦|Geneva
伯尔尼|Bern
熊城|City of Bears (nickname of Bern)

演唱会|concert (pop/with singing)
音乐会|concert (music)

音乐会是哪一天？|What day is the concert?
你们在哪儿买的演唱会票？|Where did you buy the concert tickets?
我们在网上买的（演唱会票）。|We bought (the concert tickets) online.
演唱会是几点的？|What time is the concert?
几点的演唱会？|What time is the concert?
演唱会几点开始？|What time does the concert start?
演唱会（是）几月几号（的）？|What date is the concert (on)?
几月几号的演唱会？|What date is the concert?

你们是怎么去的（奥地利）？|How did you go (to Austria)?
我们是坐火车去的（奥地利）。|We went (to Austria) by train.
你是和谁一起去的？|Who did you go with?

放假|holiday; have time off
要放假了，你有什么安排？|The holiday is coming—what plans do you have?

马到成功|wish you immediate success

多瑙河是匈牙利最有名的河。|The Danube is Hungary's most famous river.
李白是中国人的骄傲。|Li Bai is the pride of Chinese people.
