太|too
洗|wash
起来|get up
看起来|appears
头发|hair
别客气|you are welcome
饿|hungry

儿子|son
爸爸|dad
陪|accompany
一起|together
踢足球|play soccer
觉得|think; feel
汉字|Chinese characters
有点儿|a bit
难|difficult
丈夫|husband
到时候|at that time
机场|airport
接|pick up
明天|tomorrow
考试|exam
复习|review
好了|finished; ready
先|first
上课|attend class
然后|then
打工|work (part-time)
再|again
图书馆|library
学习|study; learn

少|less
上网|surf the internet
说|say; speak
中文|Chinese language
早睡早起|early to bed, early to rise
阴天|cloudy day
雨天|rainy day
晴天|sunny day
工作|work
做完|finish doing
回家|go home
晚|late
吃饭|eat
更|more
年轻|young
便宜|cheap
舒服|comfortable
同事|colleague
朋友|friend
家人|family
好极了|excellent
需要|need
努力|effort
不好|not good
想|miss; think of
家|home
他的|his
狗|dog
有名|famous
帅|handsome
高|tall
正好|just right
来|come
早了|early
晚了|late
瘦|thin
漂亮|beautiful
大|big

好饿啊|so hungry
家里|at home
有吃的吗|is there food
当然|of course
教|teach
谢谢|thank you
告诉我|tell me
怎么做|how to do
还是|still; or
长头发|long hair
好看|good-looking
吃完药|after taking medicine
好好休息|rest well
坐公共汽车|take the bus
换|change
地铁|subway
短点儿|shorter
洗起来|wash (easier)
更方便|more convenient
也不用|also don't need
花太长时间|take too long
下次|next time
再有|again have
不会的|what you don't know
就来问我|then come ask me
有面包|have bread
也有水果|also have fruit
想吃什么|what do you want to eat
病好了|illness is better
就可以|then can
和朋友一起|together with friends
去旅游|go travel
你知道|do you know
我们怎么去那儿|how we go there
听说|heard
去中国旅游|go to China travel
他会说|he can speak
匈牙利|Hungary
英语|English
汉语|Chinese
如果你准备好了|if you are prepared
请和我说一下|please tell me
你们的作业|your homework
都写完了|all finished writing
医生说|doctor says
要多休息|need to rest more
病人|patient
书写|writing

着急|worried; anxious
帮|help
九点|nine o'clock
可以|can
这|this
衣服|clothes
试试|try
件|piece (classifier)
吗|question particle
准备|prepare
东西|things
聊天的|chatting
那个人|that person
刚才|just now
和|with
是谁|who is
穿得这么少|wear so little
不怕冷吗|not afraid of cold
好久不见|long time no see
很想你们|miss you all
太贵了|too expensive
便宜一点儿|cheaper a bit
你穿多大号|what size do you wear
这家店|this store
最近|recently
都在打折|all having discounts
