遇到|meet; run into|yùdào
大学生|college student|dàxuéshēng
景点|scenic spot / tourist attraction|jǐngdiǎn
宾馆|hotel|bīnguǎn
告诉|tell|gàosu
经过|pass; pass by|jīngguò
饭馆|restaurant|fànguǎn

住在一起|live together|zhù zài yìqǐ
一起住|live together|yìqǐ zhù
（在）一起喝酒|drink together|zài yìqǐ hējiǔ
一起玩儿|hang out together / play together|yìqǐ wánr
图书馆|library|túshūguǎn
饭馆|restaurant|fànguǎn
餐馆|restaurant|cānguǎn
酒馆|pub / tavern|jiǔguǎn
茶馆|teahouse|cháguǎn
宾馆|hotel|bīnguǎn
酒店|hotel|jiǔdiàn
大 中 小|large, medium, small|dà zhōng xiǎo
不大不小|not too big and not too small|bú dà bú xiǎo

碗|bowl; measure word for bowls|wǎn
尝|taste|cháng
种|kind; type|zhǒng
小吃|snacks / local snacks|xiǎochī
不但|not only|búdàn
而且|but also|érqiě
物美价廉|good quality and inexpensive|wùměijiàlián

尝尝|have a taste|chángchang
尝一下|have a quick taste|cháng yíxià
尝一尝|have a taste|cháng yì cháng
常常|often|chángcháng
你的汉语，真不错！|Your Chinese is really good!|nǐ de Hànyǔ, zhēn búcuò!
你做的饭真不错！|The food you made is really good!|nǐ zuò de fàn zhēn búcuò!
一点也不|not at all|yìdiǎn yě bù
便宜货|cheap stuff|piányihuò
羊肉汤泡馍|crumbled flatbread soaked in lamb soup|yángròu tāng pàomó
油泼面|hot oil noodles|yóupōmiàn
