午休|lunch break; midday rest|wǔxiū
南欧|Southern Europe|Nán'ōu
3点下班|finish work at 3 o'clock|sān diǎn xiàbān
5点下班|finish work at 5 o'clock|wǔ diǎn xiàbān
夏令营|summer camp|xiàlìngyíng
数学|mathematics|shùxué
电灯|electric lamp; light|diàndēng
手电筒|flashlight|shǒudiàntǒng
噩梦|nightmare|èmèng
做梦吧！|Dream on!|zuò mèng ba!
做白日梦！|Daydream on!; Keep dreaming!|zuò báirìmèng!
你一定觉得很奇怪吧|You must find it very strange, right?|nǐ yídìng juéde hěn qíguài ba
你一定觉得很奇怪吧 / 我在西安待的时间很短。|You must find it very strange, right? / I stayed in Xi'an for only a short time.|nǐ yídìng juéde hěn qíguài ba / wǒ zài Xī'ān dāi de shíjiān hěn duǎn.
在西安我待的时间很短|My time in Xi'an was very short.|zài Xī'ān wǒ dāi de shíjiān hěn duǎn
我在西安待的时间很短。|My time in Xi'an was very short.|wǒ zài Xī'ān dāi de shíjiān hěn duǎn.
除了A还B|besides A, also B|chúle A hái B
除了A也B|besides A, also B|chúle A yě B
我除了西安还去过北京。|Besides Xi'an, I have also been to Beijing.|wǒ chúle Xī'ān hái qùguo Běijīng.
除了西安我还去过北京。|Besides Xi'an, I have also been to Beijing.|chúle Xī'ān wǒ hái qùguo Běijīng.
