真直|really straight
我总是去旅游|I always go traveling
我总去旅游。|I always go traveling.
李总|Mr. Li
张总|Mr. Zhang
你可以把考试发给我吗？|Can you send me the exam?
你可以把空调打开吗？|Can you turn on the air conditioner?
店里一般周末比较忙。|The store is usually busier on weekends.
周末店里一般比较忙。|The store is usually pretty busy on weekends.
店里周末一般比较忙。|The store is usually pretty busy on weekends.
一般周末店里比较忙。|The store is usually busier on weekends.
我的爷爷是一名医生。|My grandpa is a doctor.
我的爷爷是一位医生。|My grandpa is a doctor.
我的爷爷是一个医生。|My grandpa is a doctor.

